Date,Actual,ARIMA,SARIMA,PROPHET
2018-08-30,236.0,234.4256670339305,234.37206850887122,301.7903633725471
2018-08-31,234.3,234.4283351456336,234.10048010615102,302.82780635988445
2018-09-01,235.1,234.41057710158617,234.3701505502462,303.758641972028
2018-09-02,235.9,234.42853507277496,234.52862904156987,304.6764791748163
2018-09-03,236.7,234.42341419241507,234.68533982255977,305.5762590782975
2018-09-04,223.7,234.42435761057845,234.80161042965233,306.50259228871306
2018-09-05,222.4,234.4243009631919,234.91443180411352,307.346246684506
2018-09-06,221.05,234.42444542638253,234.82986184629902,308.21932772564645
2018-09-07,222.95,234.4243698203603,235.01861656814893,309.1160360827796
2018-09-08,222.63333333333333,234.4243979640714,235.03866632435174,309.85799552593136
2018-09-09,222.31666666666666,234.42439390741959,235.2821440323238,310.54312965002646
2018-09-10,222.0,234.42439519627777,235.118657894328,311.17166322110546
2018-09-11,216.0,234.42439452565029,235.0824381127281,311.79434921695326
2018-09-12,222.65,234.42439495081746,234.8333870524508,312.30882372297356
2018-09-13,228.3,234.42439483121717,235.1161523712768,312.83463374111903
2018-09-14,233.95,234.4243948614086,235.14253968802277,313.3738262065176
2018-09-15,234.83333333333331,234.42439485463086,235.236846574341,313.756095135529
2018-09-16,235.71666666666667,234.42439485914971,235.28672246000332,314.0874698445487
2018-09-17,236.6,234.42439485724526,235.2875620776086,314.37612465385666
2018-09-18,235.05,234.42439485791897,235.25443285792787,314.68041593061673
2018-09-19,234.9,234.42439485777209,235.4880277837133,314.90505343789124
2018-09-20,234.75,234.42439485782464,235.5570012668029,315.1759557525086
2018-09-21,234.6,234.42439485780233,235.70380907820686,315.5006825248449
2018-09-22,234.16666666666666,234.42439485781287,235.5737471809703,315.71344463481773
2018-09-23,233.73333333333335,234.42439485780972,235.534053386078,315.9236788528018
2018-09-24,233.3,234.42439485781065,235.2844496352446,316.1417705256664
2018-09-25,236.1,234.42439485781037,235.56689398550162,316.42703259604895
2018-09-26,234.25,234.4243948578105,235.59651939928315,316.6838496519902
2018-09-27,233.25,234.42439485781046,235.69235606876305,317.0365377230458
2018-09-28,233.75,234.42439485781048,235.743859569902,317.4898127392607
